clientId,lat,lng
client-ma-ma077870,43.7473679,44.641925
client-ma-ma041782,44.0532432,42.8498823
client-ma-ma092897,43.933848,42.7405125
client-ma-ma024554,45.0954607,43.4179714
client-ma-ma076825,44.1359969,43.4657324
client-ma-ma088375,44.0565248,42.9835598
client-ma-ma044522,44.2049684,43.1312948
client-ma-ma106938,43.916511,42.7251233
client-ma0001474,43.916511,42.7251233
client-ma-ma092683,44.8067998,44.142204
client-ma0002139,44.0354123,43.0796151
client-ma-ma049912,44.1494282,43.4763255
client-ma-ma106940,43.9086719,42.710985
client-ma0001558,44.0435676,43.0225349
client-ma-ma093746,44.0483866,43.1416892
client-ma-ma079079,43.9604319,43.639265
client-ma-ma103163,43.9192126,42.724845
client-ma-ma119453,44.0505677,43.0074678
client-ma-ma082824,43.6103058,39.7304704
client-ma-ma078073,44.1144046,39.0661298
client-ma-ma089686,43.7749287,39.5053089
client-ma-ma085104,43.5900849,39.7197324
client-ma0001121,44.6397347,39.1657309
client-ma-ma045934,43.4315047,39.9375875
client-ma-00031952,44.4505349,39.757312
client-ma-ma068690,43.6089504,39.7291878
client-ma0001619,43.6103058,39.7304704
client-ma-ma092058,43.5169643,39.8652054
client-ma-ma067951,43.5169643,39.8652054
client-ma-ma087217,43.5169643,39.8652054
client-ma0002705,43.8393535,39.442506
client-000000127,43.6587945,39.6597532
client-ma-ma094652,44.4604067,39.7318861
client-ma-ma043844,43.6432296,39.7488426
client-ma-ma050933,44.1163756,39.0659084
client-ma-ma100842,44.1193854,39.0624708
client-ma0002150,43.7078922,39.5825068
client-ma-ma109666,44.0949455,39.0783587
client-ma-ma044648,43.6791472,40.1996023
client-ma-ma071067,43.6103058,39.7304704
client-ma-ma080793,43.6089504,39.7291878
client-ma-ma061516,43.6089504,39.7291878
client-ma-ma063260,43.6089504,39.7291878
client-ma-ma072551,43.5833937,39.7608649
client-ma-ma014499,44.2537243,38.845941
client-ma0002555,43.5701977,39.8040361
client-ma0001245,44.0398099,39.1471918
client-ma-ma070160,44.1144046,39.0661298
client-ma-ma070219,44.1144046,39.0661298
client-ma-ma140599,43.4323627,39.9341921
client-ma-ma092638,44.6488034,39.1694671
client-ma-ma080759,43.6089504,39.7291878
client-ma-ma052183,43.6103058,39.7304704
client-ma-ma140209,44.1518978,39.178252
client-ma-ma043022,43.6791472,40.1996023
client-000000043,44.418341,39.5336321
client-ma-ma077723,43.6158938,39.7247075
client-ma-ma086596,43.5202823,39.8725375
client-ma-ma138909,43.7375972,39.5515453
client-ma-ma065789,43.4674545,39.9016485
client-ma0000646,44.2616936,38.8648668
client-ma-ma062691,44.4641738,39.7410605
client-ma0000235,44.09703,39.0713889
client-ma-ma041349,43.6277162,39.7469657
client-ma-ma138657,43.452619,39.9449003
client-ma0000042,43.9170257,39.3462489
client-ma0000917,44.6341605,39.1374954
client-ma-ma085849,44.4742313,39.7256486
client-ma-ma145263,43.4370681,39.9113151
client-ma-ma095705,43.6089504,39.7291878
client-ma-ma079337,43.4678296,39.8988447
client-ma0000758,44.6298703,39.1384026
client-ma-ma030200,43.6121057,39.7289715
client-ma-ma081114,44.4464057,39.7258682
client-ma-ma089614,43.5651452,39.7597639
client-ma-ma140999,43.6096893,39.7285712
client-ma-ma140541,43.4317781,39.9356511
client-ma-ma061744,43.4318314,39.935681
client-ma0002491,43.6243999,39.7277539
client-000000070,45.2485123,38.9961072
client-ma0001468,46.5199391,39.0665962
client-ma-ma061053,46.0511193,38.1886001
client-ma-ma124604,56.8704348,60.0239963
client-ma-ma055600,46.3160725,38.9537314
client-ma-ma061103,46.7069028,38.2526944
client-ma-ma135445,45.2773457,38.8391404
client-ma-ma072386,46.7098189,38.2653713
client-ma-ma057853,46.0564823,38.9583275
client-ma0000662,45.4514638,39.00331
client-ma0000477,46.686708,38.2609598
client-ma0000369,46.0747522,38.9480207
client-ma0000429,45.6047229,38.9569887
client-ma-ma059952,46.6795405,38.3017287
client-ma0000545,46.6795405,38.3017287
client-ma-ma083584,45.6292589,38.9406294
client-ma-ma096252,46.090503,38.9631507
client-ma0000136,45.2302567,37.1672694
client-ma-ma094479,44.894454,37.3442896
client-ma-ma137471,45.2435273,38.160989
client-000000057,45.288007,37.353725
client-ma0001488,45.2776058,38.107405
client-ma-ma078485,45.2307156,38.1267789
client-ma-ma043629,44.8969299,37.3429235
client-ma-ma145293,44.8786844,37.3241593
client-ma-ma126772,44.8696642,37.3326942
client-ma-ma134189,45.2519873,37.4788537
client-000000108,45.1263716,36.8973931
client-ma-ma140204,44.874495,37.326944
client-ma-ma062556,45.2422593,37.505015
client-ma0000166,45.271434,37.3793085
client-ma0001222,45.2580528,38.1291249
client-ma-ma063073,45.2800992,38.1282289
client-ma-ma141867,44.8831333,37.3220424
client-ma0002151,45.0034348,37.2796042
client-ma-ma145570,45.2779281,38.0956612
client-ma-ma034890,44.6124303,41.9527735
client-ma0002428,45.326093,39.9605673
client-ma0000079,45.2263036,39.7074988
client-ma0000139,44.6269951,41.9196694
client-ma0000333,45.2117267,39.6673272
client-ma-ma062138,45.0038867,41.1175043
client-ma-ma049838,45.0038867,41.1175043
client-000000071,44.9656933,41.1434681
client-ma-ma065555,44.2553539,42.0551596
client-ma-ma136420,44.2446519,42.0561471
client-ma-ma064195,45.3538037,40.6958434
client-ma-ma048982,44.6255,41.947435
client-ma-ma080358,44.6351291,41.9097217
client-ma-ma014364,45.3803922,40.5242736
client-ma-ma030883,45.0046396,41.1338709
client-ma-ma092892,43.8620945,41.5821325
client-ma0002209,45.114541,39.3805067
client-000000006,44.9726347,41.1645516
client-000000056,45.0049549,41.0974899
client-ma-ma051437,44.1905321,42.0428735
client-ma0000072,45.2142167,39.6652744
client-ma0002512,45.0143874,41.098042
client-ma0002483,45.0038867,41.1175043
client-ma-ma047605,45.3640994,40.6998748
client-ma-ma044342,45.0017298,41.0833651
client-ma-ma057354,45.0038867,41.1175043
client-ma-ma072020,45.0038867,41.1175043
client-ma0002579,45.3656645,40.6765816
client-ma0000204,45.1083184,41.0366896
client-ma0000502,44.6255,41.947435
client-ma-ma040610,45.0017756,41.1126157
client-ma0000090,45.1033462,41.0450237
client-ma-ma056166,44.6447333,41.9418001
client-ma0000326,45.0038867,41.1175043
client-ma0001209,43.9514741,42.619033
client-ma0000731,44.616633,41.956913
client-ma0002713,45.0038867,41.1175043
client-ma0000445,45.0038867,41.1175043
client-ma-ma083755,45.2145409,39.6873386
client-ma-ma001408,45.3530955,40.6923623
client-ma-ma142006,44.9873767,41.0959369
client-ma-ma057319,44.9723817,41.1605745
client-ma0002163,45.0078831,41.1275619
client-ma-ma006800,45.0038867,41.1175043
client-ma-ma038512,45.1097458,39.8938284
client-ma0000049,44.2005852,42.0578281
client-ma-ma139822,44.2005852,42.0578281
client-ma-ma053891,45.0038867,41.1175043
client-ma0002126,47.5304519,42.2058385
client-ma-ma096017,42.984655,47.4695057
client-ma0001317,45.0511372,41.9766899
client-ma0002145,47.2820412,39.4724007
client-ma-ma136879,51.7127081,39.2747221
client-ma-ma124559,50.1980527,39.5167106
client-ma-ma069468,45.0156098,41.9111558
client-ma0002510,45.4911432,41.2439227
client-ma-ma132091,50.9812284,39.5053
client-ma-ma130062,46.4753113,41.5241346
client-ma-ma133115,51.6542305,39.1865797
client-ma-ma123009,51.5988857,39.2492074
client-ma-00031768,47.5285433,42.2138555
client-ma-ma142161,47.2602253,39.6486084
client-ma-ma092438,45.0445272,41.9726429
client-ma-ma054614,45.0665091,41.9283114
client-ma-ma066510,47.2145832,38.9160022
client-ma-ma122182,52.5797969,39.5119248
client-ma-ma139033,47.5930494,41.1021674
client-ma-ma144027,51.041573,40.718513
client-ma-ma089701,47.5127399,40.8288455
client-ma-ma057360,47.2526514,39.8397397
client-ma-ma078693,47.2727232,39.6852285
client-ma-ma063568,46.4698655,41.528432
client-ma-ma084086,47.2153869,38.9281094
client-ma-ma113958,47.2632548,38.9081122
client-ma-ma096135,42.965621,47.500746
client-ma-ma033387,42.9556416,47.5176332
client-ma-ma078496,47.283649,39.528947
client-ma-ma059671,46.8453467,40.3200177
client-ma-ma127937,51.7185635,39.2381496
client-ma-ma134425,49.1584904,142.1128516
client-ma-ma071837,46.4712735,41.5274187
client-ma0001472,47.255657,39.7772569
client-ma-ma042937,47.5149537,40.8282403
client-ma-ma060084,47.0895908,40.7335391
client-ma-ma085159,42.8907258,47.6275778
client-ma-ma114311,42.9638943,47.5056593
client-ma-ma078366,47.2526514,39.8397397
client-ma-ma121961,51.6654327,39.1596234
client-ma0002784,46.4711913,41.5288379
client-ma-ma069938,47.5340278,42.2355714
client-ma0001524,45.0406297,41.9763615
client-ma-ma123925,51.3268839,39.2056422
client-ma-ma003267,47.6957817,40.2011781
client-ma-ma137268,47.2602253,39.6486084
client-ma-ma040358,47.1387767,39.7111402
client-ma-ma123874,51.3165187,37.9086578
client-ma-ma113520,47.2602253,39.6486084
client-ma-ma124113,51.3165187,37.9086578
client-ma-ma088647,47.2097081,38.9255236
client-ma-ma012215,47.5218967,42.1389521
client-ma-ma109875,43.9196834,46.7121021
client-ma-ma102095,42.9670891,47.5174084
client-ma-ma104733,44.1637923,45.8688269
client-ma-ma092743,45.0059497,41.9010321
client-ma-ma093272,47.5158054,42.1984694
client-ma-ma086253,46.4700613,41.5285549
client-ma-ma098556,47.5206629,40.8120119
client-ma-ma137898,47.1402319,39.7501321
client-ma-ma095074,45.0052702,41.9016916
client-ma-ma124072,52.6344297,38.4549617
client-ma-ma121500,47.2153869,38.9281094
client-ma-ma140602,49.158757,142.1138762
client-ma-ma135542,47.5149537,40.8282403
client-ma-ma131271,48.3250626,39.9746958
client-ma-ma134738,44.9993109,41.9131341
client-ma-ma105748,42.0875685,48.2905766
client-ma-ma055920,47.2145832,38.9160022
client-ma0002832,47.2145832,38.9160022
client-ma-ma100857,47.2145832,38.9160022
client-ma-ma078497,47.2602253,39.6486084
client-ma-ma065325,47.2264053,39.6959247
client-ma-ma099109,47.245574,39.7829443
client-ma-ma066174,46.5276554,41.0527159
client-ma-ma141786,46.5276554,41.0527159
client-ma0002239,46.5591084,40.6614948
client-ma-ma133317,51.3165187,37.9086578
client-ma-ma119366,47.2602253,39.6486084
client-ma-ma137307,47.2091906,39.7178347
client-ma-ma093525,45.4581519,39.4384813
client-ma-ma063261,45.051242,42.0108755
client-ma-ma125144,51.6439477,39.1313008
client-ma-ma065323,47.2264053,39.6959247
client-ma-ma046436,47.2153869,38.9281094
client-ma-ma135644,47.5129401,42.2082566
client-ma-ma136347,47.5797096,41.1097896
